04/11 06:42:36 PM: Epoch: 041, Loss: 0.0582569, valid acc: 0.7927205, valid auc: 0.8068998, test acc: 0.8111450, test auc: 0.8164128
04/11 06:43:09 PM: Epoch: 042, Loss: 0.0523100, valid acc: 0.7934608, valid auc: 0.8077426, test acc: 0.8092560, test auc: 0.8175806
04/11 06:43:43 PM: Epoch: 043, Loss: 0.0506103, valid acc: 0.7947769, valid auc: 0.8076457, test acc: 0.8107157, test auc: 0.8169818
04/11 06:44:18 PM: Epoch: 044, Loss: 0.0452957, valid acc: 0.7955583, valid auc: 0.8072211, test acc: 0.8107586, test auc: 0.8173545
04/11 06:44:51 PM: Epoch: 045, Loss: 0.0458033, valid acc: 0.7935020, valid auc: 0.8074699, test acc: 0.8086979, test auc: 0.8171269
04/11 06:45:25 PM: Epoch: 046, Loss: 0.0465802, valid acc: 0.7949003, valid auc: 0.8068840, test acc: 0.8115314, test auc: 0.8165839
04/11 06:45:59 PM: Epoch: 047, Loss: 0.0468490, valid acc: 0.7939132, valid auc: 0.8073982, test acc: 0.8105869, test auc: 0.8179070
04/11 06:46:33 PM: Epoch: 048, Loss: 0.0468189, valid acc: 0.7946535, valid auc: 0.8081454, test acc: 0.8100288, test auc: 0.8162823
04/11 06:47:07 PM: Epoch: 049, Loss: 0.0439597, valid acc: 0.7936665, valid auc: 0.8074520, test acc: 0.8101576, test auc: 0.8171590
04/11 06:47:41 PM: Epoch: 050, Loss: 0.0456752, valid acc: 0.7918569, valid auc: 0.8065428, test acc: 0.8089984, test auc: 0.8163020
04/11 06:48:14 PM: Epoch: 051, Loss: 0.0477076, valid acc: 0.7941600, valid auc: 0.8083746, test acc: 0.8110591, test auc: 0.8171631
04/11 06:48:49 PM: Epoch: 052, Loss: 0.0517013, valid acc: 0.7928851, valid auc: 0.8071220, test acc: 0.8089555, test auc: 0.8173364
04/11 06:49:23 PM: Epoch: 053, Loss: 0.0524778, valid acc: 0.7930084, valid auc: 0.8067067, test acc: 0.8110591, test auc: 0.8173986
04/11 06:49:57 PM: Epoch: 054, Loss: 0.0443880, valid acc: 0.7932963, valid auc: 0.8075970, test acc: 0.8114455, test auc: 0.8183259
04/11 06:50:31 PM: Epoch: 055, Loss: 0.0407221, valid acc: 0.7939132, valid auc: 0.8068017, test acc: 0.8105869, test auc: 0.8165441
04/11 06:51:06 PM: Epoch: 056, Loss: 0.0543426, valid acc: 0.7943656, valid auc: 0.8066090, test acc: 0.8092560, test auc: 0.8168936
04/11 06:51:40 PM: Epoch: 057, Loss: 0.0542055, valid acc: 0.7950648, valid auc: 0.8062989, test acc: 0.8103293, test auc: 0.8178150
04/11 06:52:14 PM: Epoch: 058, Loss: 0.0536322, valid acc: 0.7923915, valid auc: 0.8062613, test acc: 0.8098570, test auc: 0.8161717
04/11 06:52:48 PM: Epoch: 059, Loss: 0.0601694, valid acc: 0.7926794, valid auc: 0.8070442, test acc: 0.8084403, test auc: 0.8155555
04/11 06:53:23 PM: Epoch: 060, Loss: 0.0578250, valid acc: 0.7922270, valid auc: 0.8060452, test acc: 0.8102864, test auc: 0.8155383
04/11 06:53:57 PM: Epoch: 061, Loss: 0.0540795, valid acc: 0.7931318, valid auc: 0.8068234, test acc: 0.8095136, test auc: 0.8162309
04/11 06:54:31 PM: Epoch: 062, Loss: 0.0696029, valid acc: 0.7933374, valid auc: 0.8065980, test acc: 0.8089125, test auc: 0.8160094
04/11 06:55:05 PM: Epoch: 063, Loss: 0.0753366, valid acc: 0.7921036, valid auc: 0.8067054, test acc: 0.8108015, test auc: 0.8158164
04/11 06:55:40 PM: Epoch: 064, Loss: 0.0888251, valid acc: 0.7922681, valid auc: 0.8054161, test acc: 0.8103293, test auc: 0.8158914
04/11 06:56:14 PM: Epoch: 065, Loss: 0.1019554, valid acc: 0.7925972, valid auc: 0.8060172, test acc: 0.8097712, test auc: 0.8153395
04/11 06:56:48 PM: Epoch: 066, Loss: 0.0983367, valid acc: 0.7940777, valid auc: 0.8072096, test acc: 0.8109303, test auc: 0.8163803
04/11 06:57:22 PM: Epoch: 067, Loss: 0.0743821, valid acc: 0.7934197, valid auc: 0.8073175, test acc: 0.8104581, test auc: 0.8167328
04/11 06:57:56 PM: Epoch: 068, Loss: 0.0750542, valid acc: 0.7936253, valid auc: 0.8067042, test acc: 0.8083115, test auc: 0.8169165
04/11 06:58:30 PM: Epoch: 069, Loss: 0.0507091, valid acc: 0.7945713, valid auc: 0.8063978, test acc: 0.8123041, test auc: 0.8171220
04/11 06:59:04 PM: Epoch: 070, Loss: 0.0475613, valid acc: 0.7926794, valid auc: 0.8066944, test acc: 0.8099000, test auc: 0.8156302
04/11 06:59:38 PM: Epoch: 071, Loss: 0.0454628, valid acc: 0.7930084, valid auc: 0.8077657, test acc: 0.8093848, test auc: 0.8172290
